1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
497,0,0,148,185,2,56,286.96,0,728916,0,3.43,9,3,26,0,2606696,0,144284.7,20,6,120672,32,32,32633.16,540,30,0,-26,0,5571050,1133982,0,0,9,604800,10453360,28,1074546,0,0,290,25,22,0,114,1140,1347,3938,1,51,1,21,10,1,5,0,33,1305,4198,1,12,776,4,334,1,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,12,0,0,0,0,178.8,0,0,0,2.54,9,3,30,0,0,0,145409.4,0,0,120869.29,32,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0,0,0,128,5,22,0,116,463,1237,3230,1,12,1,21,4,1,5,0,33,413,5912,1,12,605,4,2131,4,12,3,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1169,14,7316,132,165,2,40,331.04,0,1857180,0,5.2,18,3,64,91,1558040,0,113829.9,20,10,9435.57,32,48,4855.92,490,78,64710,-30,0,0,538232,1905,0,0,344925,4580800,0,1493622,0,0,240,25,22,0,114,4137,2994,377,1,41,2,7,10,1,5,0,33,1569,7455,2,12,1258,4,894,1,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28,35,0,32,208.64,0,143940,0,1.01,9,3,12,0,0,0,61636.2,0,0,32756.48,0,0,386550.8,35,6,0,-30,8,88415,204290,0,0,0,0,575272,4,0,0,7,334,25,22,0,63,4166,1217,1666,1,28,2,7,10,1,5,0,33,1305,4645,2,12,757,4,748,1,22,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,21,4656,492,615,28,200,220.08,0,52770,0,1.21,27,3,178,504,199968,0,3284.43,10,28,3054,240,216,42129.2,1720,12,3798,26,0,130640,63482,785,0,9,45150,590228,106,257532,0,0,347,5,17,0,196,2991,5030,1513,1,95,2,20,4,1,5,0,68,245,9782,1,15,350,2,2751,4,2,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,7,2624,128,160,0,48,220.08,0,4147200,0,6.77,9,3,82,0,2764800,0,124349.4,10,4,211059,32,32,732664,555,48,39114,-30,0,4015925,864168,1945,0,18,0,10470680,20,1036800,0,0,4,25,22,0,17,3564,4387,53,1,9,3,16,10,1,5,0,44,788,2652,2,12,1488,4,3181,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,14,6648,128,160,0,8,253.52,0,7257600,0,6.6,18,6,60,63,1382400,0,58284,35,0,175347,32,16,127508,890,84,13338,4,0,3299435,9852,4440,0,9,0,10608040,16,0,0,0,50,25,22,0,18,4004,1421,1381,1,12,1,18,10,1,5,0,33,1443,5625,1,12,3646,4,2940,1,12,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,52,65,2,32,186.64,0,4579248,0,4.56,9,6,14,0,633624,0,353100,5,2,54125.15,16,8,113999.6,150,18,0,-20,0,3199015,979884,0,0,0,554421,9330480,6,475218,0,0,28,25,22,0,114,1988,264,1542,1,40,1,7,10,1,5,1,33,1544,5830,1,12,2359,4,740,1,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,7,2272,60,75,2,40,166.56,0,0,0,6.03,9,3,82,0,33424,0,11416.89,0,2,59319.46,8,16,-23354.72,320,0,41625,34,0,87315,30348,675,0,0,17017,233656,14,129594,0,0,216,25,22,0,114,2226,3019,4797,1,83,2,7,10,1,5,0,33,1548,366,1,12,365,4,2872,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1624,7,344,208,260,4,168,166.56,10,264840,0,3.12,9,3,108,0,667784,0,40722.9,25,6,43822.92,32,16,-426720,630,12,2808,4,16,2599805,281890,815,0,9,584311,5316200,38,651186,0,0,242,25,22,0,29,1118,2215,3979,1,44,2,18,10,1,5,0,33,895,6460,2,12,4178,4,1480,1,18,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
889,7,16,136,170,0,0,186.64,0,4715262,0,5.91,9,6,38,28,2818616,0,209507.7,20,0,33803.9,32,40,127358.4,570,66,162,-30,0,6048000,0,45,0,9,0,10522640,28,0,0,0,114,25,22,0,18,2220,408,3366,1,84,1,2,10,1,5,0,33,1548,8803,1,0,3763,4,3668,0,12,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,14,88,164,205,8,64,166.56,0,312,0,0.84,27,6,108,7,2113400,0,114583.5,10,10,75945,40,48,142188,580,6,351,60,0,4616335,619314,4965,0,0,599830,6567880,38,316152,0,0,173,0,22,0,18,2729,1534,5440,1,48,1,18,2,1,5,0,27,1740,1333,1,12,3219,6,1032,1,7,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,0,0,24,30,0,0,382.48,0,6651000,0,2.15,9,3,24,0,1995576,0,45888.3,5,0,55516.8,0,8,-11511.72,1220,18,0,-30,0,1161885,0,0,0,18,0,8572880,2,0,0,0,18,25,22,0,178,24,4835,4373,1,44,2,21,10,2,5,0,33,452,2277,1,12,3347,4,2451,1,18,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,7,2228,148,185,0,32,289.04,0,3693354,0,1.23,9,3,82,91,3168120,0,109313.7,30,4,52776,40,40,90653.2,740,48,30087,8,0,4541270,619974,2230,0,27,0,10703920,24,477468,0,0,189,25,22,0,2,441,267,2056,1,26,2,6,8,1,5,0,15,1957,9686,1,12,1918,6,1357,1,9,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,21,1440,264,330,10,192,200,0,16506,0,0.67,27,6,78,343,1164240,0,18613.56,15,12,94638,96,96,-161092,1160,30,40725,54,0,947655,482614,4405,0,18,290556,2562172,32,363660,0,0,96,25,22,0,114,3747,4166,5279,1,41,2,12,10,1,5,0,44,6,13438,1,12,3114,4,122,1,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,7,240,372,465,6,440,186.64,0,0,0,0.43,9,3,58,0,489456,0,4918.11,0,18,90510,40,88,-84387.2,1145,0,59589,4,0,152910,294320,980,0,18,213626,1072052,36,174534,0,0,67,25,22,0,55,2893,2994,2873,1,47,2,12,10,1,5,0,44,6,13212,2,12,643,4,3247,1,13,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1358,14,960,184,230,0,40,166.56,0,3968754,0,1.21,27,9,34,21,3581648,0,64788.3,15,4,140682,32,64,171246.4,860,72,12897,10,0,4494030,440486,4495,0,0,0,10458440,32,1036800,0,0,326,25,22,0,98,157,1577,3847,1,92,2,7,10,1,5,0,33,1772,3028,1,0,2530,4,1575,0,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,56,70,0,0,253.52,0,4590264,0,6.27,18,6,16,0,0,0,232719.3,25,0,1890,16,0,-465788,345,54,0,4,0,0,0,0,0,0,0,4788160,0,0,0,0,143,25,22,0,25,2289,1478,375,1,84,2,7,10,1,5,0,33,1305,10827,1,12,3797,4,1542,1,12,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
700,21,364,44,55,2,8,220.08,0,3873132,0,5.1,36,6,30,21,1062184,0,183028.8,5,2,639,16,8,-316336,355,24,35208,-30,0,2629925,1209600,260,0,0,929411,10929280,6,3628800,0,0,351,25,22,0,214,1169,2641,1799,1,19,3,7,10,1,5,0,33,1305,7259,1,0,1096,4,4208,0,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,14,4792,60,75,0,8,166.56,0,0,0,3.27,18,6,104,133,8904,0,2499.98,0,0,17631,0,8,10002.72,195,0,25884,4,0,32030,5946,1255,0,9,0,41968,26,0,0,0,361,25,22,0,214,1146,1292,2767,1,90,2,18,5,1,5,0,18,1634,8467,1,12,1031,3,3603,1,10,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1463,7,2260,160,205,4,104,166.56,0,0,0,2.54,9,3,6,56,87618.15,0,6708.7,0,8,31242,40,64,793328,705,6,36607.72,-18,0,104963.84,59921.56,1130,0,9,33494.88,133271.67,30,73189.33,0,0,147,25,22,0,178,2763,2097,1579,1,45,2,0,10,1,5,1,33,95,8502,1,9,3290,4,679,1,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
679,7,160,144,180,2,152,133.12,0,0,0,2.83,9,6,206,0,759744,0,36786,0,8,59963.15,40,40,-70964,375,0,18306,30,0,431660,316766,180,0,18,80430,1429852,16,106680,0,0,157,28,4,0,216,2991,4768,3487,1,79,2,20,4,1,5,0,48,25,5233,1,12,350,4,2751,1,14,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,100,4,5,0,0,166.56,0,0,0,0.06,9,9,78,0,0,0,6040.47,0,0,106882.27,0,0,-11258.52,10,0,26946,-24,0,11335,0,0,0,0,0,9068,2,0,0,0,50,25,22,0,155,2734,4510,4241,1,66,1,7,10,1,5,1,33,1548,13697,2,19,502,4,568,1,21,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,7,284,124,155,0,136,166.56,0,44016,0,4.55,9,3,40,252,142608,0,7626.36,0,4,28794,16,48,4899.92,550,30,4689,16,0,555,92920,105,0,0,0,300032,2,19650,0,0,106,25,22,0,97,2575,2453,2969,1,98,2,7,10,1,5,0,33,1548,3473,1,9,1444,4,817,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1785,7,2704,232,290,4,0,133.12,0,0,0,1.62,9,3,120,63,783208,0,16329.12,0,2,38865.04,64,112,166860.4,705,0,6003,4,0,1320655,0,480,0,36,52220,1448336,86,312,0,0,174,25,22,0,114,667,2693,1157,1,2,1,11,8,1,5,0,22,16,2265,2,12,2061,6,3078,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
462,7,20,124,155,4,80,220.08,0,6220800,0,0.45,18,6,104,7,0,0,154410,20,8,22299,32,0,129274.4,525,72,13554,4,0,171905,1728000,590,0,27,1209600,10505520,2,2073600,0,0,72,25,22,0,216,548,1055,1963,1,79,2,18,10,1,5,0,33,895,12562,1,12,3455,4,2659,1,14,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
623,7,1508,180,225,2,32,301.44,0,4701486,0,1.56,9,3,154,0,2534432,0,179595,20,2,126,32,32,471660,490,132,10557,-20,0,3030845,633608,1505,0,9,554407,9546040,20,475212,0,0,104,35,22,0,130,2991,4370,474,1,46,2,15,4,1,5,1,5,582,11189,2,12,350,6,2751,4,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
